MAE,MSE,RMSE,MAPE,R2,sMAPE,MASE,DA,SA,VaR_99,CVaR_99
9714.795822775519,1646.0314197567118,4076.289379249677,15.391461597314528,0.10276412144537901,21.935561566258965,7.5407454486923955,-8.03215252497016,-6.440028776398709,-26.524392555326493,-97.75635735578435
2451.4889592849786,3290.2229275388713,6749.510789465224,27.371396668547487,0.8357598928243288,7.025691275839382,12.908401630670667,-8.03215252497016,8.232976971938417,-25.130172054120035,-37.01714987646403
3600.165423260538,4359.575605029168,516.6764316087465,26.965339634630578,0.00991929167153463,-1.9504967567990015,11.113284447966812,-8.03215252497016,28.179533630557902,-49.54580467229145,-61.82906993387486
-357.6755652025968,54.78018999789401,3922.8051040046034,18.344368639024694,0.03067173205778359,9.806983548460531,7.903811762653203,28.565321133636978,-6.440028776398709,-49.470920991104634,7.777343814748477
1170.013898018072,1977.1520976559036,3418.1693683127896,5.728814319958509,0.03316648247486212,16.064844882300072,2.9137682217237293,-8.03215252497016,-6.440028776398709,-11.084673718894411,-52.21859654279558
2051.1245393996796,-513.6326346773467,-73.05709772317732,15.762293943879165,0.009925025609339833,22.08389212855739,-0.47325265673202566,-8.03215252497016,-6.440028776398709,-34.399063326726676,7.777343814748477
-357.6755652025968,-513.6326346773467,6275.802978792591,14.345408377474246,0.13826115177657258,15.702493971554443,-0.5096906004606216,-8.03215252497016,-6.440028776398709,-46.068906339281796,-18.016510198849463
4988.608483207272,-513.6326346773467,347.8517192275499,27.53236321044658,0.33340368716733676,33.37480491595561,-0.5096906004606216,38.477673019458855,-6.440028776398709,-16.19031900865139,-33.20620082328555
2766.0085280810263,1089.7207704277698,2040.0076974725898,-2.203773231018207,0.1675609134584729,15.3547430418073,7.469136445321392,-8.03215252497016,-6.440028776398709,-33.51318559890626,-68.82583652376628
1990.2407733906066,1930.9682233802,6825.161729268973,11.127179791862384,0.7266888638994,33.69365282372997,8.84656820256231,-8.03215252497016,18.807354686011227,-34.94840503287013,-25.739498853737942
5809.267012451335,5899.847720141891,4295.9541039390915,11.90753520021023,0.2294984113582381,3.6572831450429097,-0.3587073187182188,-8.03215252497016,1.8360082637569555,-39.87141477270613,-50.44113334851473
