MAE (USD),MSE (USD²),RMSE (USD),MAPE (%),R²,sMAPE (%),MASE,DA (%),SA (%),VaR (95%),CVaR (95%)
266.2702310440387,150268.57035814752,0.0,1.9277009086618409,0.9900673589233182,0.8915580067903937,0.7098617605447922,100.0,98.3060350445291,-12.433881302935378,-9.948306626635047
1130.2984646494897,139403.34763974883,1403.4972753901195,1.7905816204516107,0.9989452512617243,0.23615535821004063,1.2538219187487316,24.013303162767443,47.468973246141225,-8.398869419705264,-6.4890414374836345
788.3933069362976,49830.746777578315,944.357565949575,3.9967899210410414,1.0,0.0,0.659395337925229,68.6384530782576,100.0,0.0,0.0
117.71488179697184,150634.97668368532,1232.5182247895875,0.8286942292701894,1.0,0.2704048599192548,0.0,87.17848381621907,38.41555760027996,-3.727369541305364,-11.711651306288386
253.6344963148553,89128.05180103087,801.5948806861951,2.8852968697981387,1.0,2.6695160792575416,0.16832115046905094,100.0,82.2672289813315,-3.0200289451263616,-15.116655163774558
255.640026106905,0.0,367.765510751482,4.816552751878039,1.0,2.024583131942028,0.26470271592662364,55.724585277851126,80.8467813376833,-2.3870921354949557,0.0
1092.7933321603055,532937.4355806289,1525.4614498682956,1.6972476846231435,0.9702035577014113,3.7485493060677446,2.306320311098009,81.06052312921983,92.60392692675174,-4.375864416598448,0.0
165.73183811119208,820342.4185772681,682.108336384609,0.5993329106446772,0.9425444961048828,1.1661193270705918,0.0,24.119551758589346,100.0,0.0,-7.533420578835235
736.5693233968502,308204.973645838,686.8213962335514,0.4808711888228996,0.7284699149833668,1.876154414824828,0.7563932479832365,64.5104609914107,100.0,-0.2501283825955025,-11.699561114588471
525.4648524232862,588580.713932593,290.6197556690658,0.03635028581430677,1.0,1.786865601038845,1.1531525789786259,71.14343407906767,89.15335790738476,0.0,0.0
1034.5596647574926,800653.095349504,416.24953826583965,0.0,1.0,2.52752193169662,1.3558579268911273,26.712009309968046,27.508188110051663,0.0,-11.089773078228033
807.2615486460813,700024.8685020304,993.4582856271968,3.7493583693170933,1.0,2.3080989805751484,0.4281202018308396,77.35454626367425,44.7014950363799,-0.9709521659536582,0.0
350.91672164649196,732928.0586218357,551.2415004132226,0.8723579571735349,0.9653253340307897,1.2601072087657075,0.5158270777603425,100.0,94.77399784957129,-5.2567048290284095,0.0
223.37395340462757,406512.7151838643,924.1212833698053,2.056866843979493,0.5808677192275615,1.6045017112072415,0.7733580967632052,20.605673075365395,77.6975528099164,-11.118727991686207,-15.892129606736498
1088.704482149992,570070.8911856099,551.8251978008084,3.2824133201740775,1.0,3.2565299804427728,0.47745093871911315,89.5072871631303,100.0,-9.037650336469685,-7.723985020800088
754.726816455231,225537.6713486641,809.5077291113739,0.310907962569845,0.9991087696789909,1.4777857478839687,0.013247213046511552,26.45789609091095,63.074766873866,-0.8297554618144416,-6.092126061044624
908.5551921961294,0.0,1246.4475827433728,3.036151896723153,0.9754696807649497,2.1438919248325736,1.3531084421633777,80.82715375670902,39.325496288277584,-4.573485634011474,-7.860128750245837
658.0828846975219,305375.09436932567,180.549633740878,1.8729136837441127,0.9422137335259494,1.0002138506417975,2.2059570399641557,58.20247035707779,47.103580119873754,0.0,-5.6300683252642125
837.5934938316138,1114648.7076175702,941.8379920571379,0.0,1.0,3.463232634831039,1.73720668848252,100.0,56.70111895946493,0.0,-5.17970449509498
77.47575874577893,704871.0183560736,559.7483516054488,4.355483239825355,1.0,1.445470662009471,0.14355890534761484,92.72265635427357,91.76951482315272,-9.71407580701286,0.0
462.095585542857,248891.77334886033,202.64320111924627,1.896975755819441,1.0,0.9292844893243508,1.6461124420794584,54.281152547339715,30.173877056590513,-10.452496135838159,-13.687486299731907
475.70863036096705,588555.064437109,447.192997541129,3.5212459007340575,0.8215807299644424,0.8663309575726625,0.6039851598561583,79.28748480779487,72.72407251338902,-1.0298669651952332,-12.040050315990603
647.0740971024047,923013.0963108025,486.55839351075474,0.0,1.0,1.3815744078622312,2.003329658615122,39.37354468623687,12.412224824276812,-7.881096448761493,-5.046058513493296
175.31017914490235,652400.8495459536,0.0,3.25694798251879,0.8422390441111888,1.4865152130745134,0.0,85.43812162850699,82.2254818921152,-6.92820971362273,-9.20417747966628
472.3648383729871,1000651.240324057,565.1320190143012,0.0,0.7662134836882106,0.0,0.2771452603208822,69.90699819690397,100.0,-11.53569266546787,-5.98455119031056
1377.591698257926,23228.444798268552,646.9787213861803,1.6330599783523083,1.0,2.219345764054877,0.9349770574111831,100.0,100.0,-1.7808286808133809,-1.5960484987970744
629.4428477722226,661493.5840411327,726.9365189720266,1.8137242098694761,1.0,0.0,1.6188841155373601,37.28084216831744,32.84645124865296,-2.899277460982733,-2.5924944948800968
259.4873293444893,413337.1663803675,581.4542473231469,2.7630284403019134,0.9742670634317157,3.1123401370635575,1.1638533043060266,58.56107695011823,100.0,0.0,-17.388132879317972
0.0,374515.6665737431,1200.0675551537659,3.810140270185265,0.6740671486529466,2.6022834817906295,0.0,100.0,100.0,-0.650016241842833,-5.318341181399496
1050.3908840425302,524350.8827737244,807.6051920026001,3.3073502157704704,0.9965399419503093,3.2019862355958812,0.0,12.499362503757531,58.0690687485012,0.0,0.0
0.0,572834.6233730973,228.01876568439837,0.3090304132129984,0.9006249592044361,0.0,0.3420524290215419,69.97518869692138,57.076582806935455,-1.6900186731863918,0.0
774.2704095284867,576286.0750548015,863.1732948008755,3.2990399914134914,0.811739436236545,1.5655606835427076,0.0,100.0,61.17779266176894,0.0,-8.07488346569935
784.1673603186559,449904.20696341293,0.0,1.469110092873031,0.858121792463659,3.861415792372111,0.7271650820339649,46.27750649517628,100.0,0.0,0.0
572.5489290767127,0.0,996.9647163764221,1.5477072369137246,0.6338613348895675,2.998421519682064,0.7383604434950362,80.28039159047208,76.1702295669512,0.0,-3.9167132480834272
1300.0670237633376,469253.14546096226,232.90143500399546,0.0,0.9184505682153896,1.3079019161089647,0.34672684810014326,73.60133316604535,100.0,-9.819330823544632,-2.5807966650393848
1120.341975543936,53141.6034828439,423.76168587626813,2.691449785981794,1.0,4.860345277750906,0.0,100.0,25.78233204395069,0.0,-9.222293056065558
440.9749963060485,665631.9164158958,1162.1081485002549,0.7086953030356336,0.9107935559721808,0.0,0.0,89.40627462141403,82.247146118585,-6.931901189634729,-11.106936054637213
